Rk,Player,Pos,Tm,Salary
347,Caleb Benenoch\BeneCa00,OT,TAM,$2025000
,Ryan Smith\SmitRy00,CB,TAM,$2025000
,Troy Hill\HillTr01,CB,LAR,$2025000
,Will Parks\ParkWi01,S,DEN,$2025000
,Rashard Higgins\HiggRa00,WR,CLE,$2025000
,Austin Hooper\HoopAu00,TE,ATL,$2025000
,Nick Kwiatkoski\KwiaNi00,ILB,CHI,$2025000
,Connor McGovern\McGoCo00,OG,DEN,$2025000
,Matt Judon\JudoMa00,DE,BAL,$2025000
,Brandon Dunn\DunnBr00,DT,HOU,$2025000
,David Onyemata\OnyeDa00,DT,NOR,$2025000
,Alex Lewis\LewiAl01,OT,NYJ,$2025000
,Kevin Byard\ByarKe01,S,TEN,$2025000
,Javon Hargrave\HargJa00,DT,PIT,$2025000
,Elandon Roberts\RobeEl00,ILB,NWE,$2025000
,Maliek Collins\CollMa00,DT,DAL,$2025000
,Tyler Higbee\HigbTy00,TE,LAR,$2025000
,Dean Lowry\LowrDe00,DE,GNB,$2025000
,Tajae Sharpe\SharTa00,WR,TEN,$2025000
,Xavier Grimble\GrimXa00,TE,PIT,$2025000
,Trevor Williams\WillTr05,CB,ARI,$2025000
,Quinton Jefferson\JeffQu00,DT,SEA,$2025000
,Joe Schobert\SchoJo00,OLB,CLE,$2025000
,Jordan Jenkins\JenkJo01,OLB,NYJ,$2025000
,Brandon Shell\ShelBr00,OT,NYJ,$2025000
,Justin Simmons\SimmJu00,FS,DEN,$2025000
,Rashod Hill\HillRa01,T,MIN,$2025000
,D.J. Reader\ReadD.00,DT,HOU,$2025000
,Anthony Brown\BrowAn02,CB,DAL,$2025000
,Brennan Scarlett\ScarBr00,LB,HOU,$2025000
,Kendall Fuller\FullKe00,CB,KAN,$2025000
,Graham Glasgow\GlasGr00,OG,DET,$2025000
,Josh Gordon\GordJo02,WR,NWE,$2025000
,Dak Prescott\PresDa01,QB,DAL,$2025000
,Kenyan Drake\DrakKe00,RB,MIA,$2025000
,De'Vondre Campbell\CampDe00,OLB,ATL,$2025000
,Matthew Ioannidis\IoanMa01,DT,WAS,$2025000
,Wes Schweitzer\SchwWe00,OT,ATL,$2025000
,Halapoulivaati Vaitai\VaitHa00,OT,PHI,$2025000
,Blake Martinez\MartBl01,ILB,GNB,$2025000
,Yannick Ngakoue\NgakYa00,OLB,JAX,$2025000
,Austin Blythe\BlytAu00,C,LAR,$2025000
,Peyton Barber\BarbPe01,RB,TAM,$2025000
,Carl Nassib\NassCa00,DE,TAM,$2025000
,Joe Haeg\HaegJo00,OT,IND,$2025000
,Jatavis Brown\BrowJa05,OLB,LAC,$2025000
,Jordan Lucas\LucaJo00,SS,KAN,$2025000
,Jordan Howard\HowaJo00,RB,PHI,$2025000
395,John Ross\RossJo00,WR,CIN,$2020988
396,Eric Murray\MurrEr00,CB,CLE,$2015500
,Demarcus Robinson\RobiDe01,WR,KAN,$2015500
398,Kyler Fackrell\FackKy00,OLB,GNB,$2010000
399,Jason McCourty\McCoJa99,DB,NWE,$2000000
,Nate Ebner\EbneNa00,DB,NWE,$2000000
,Ha Ha Clinton-Dix\ClinHa00,FS,CHI,$2000000
,Jimmie Ward\WardJi01,SS,SFO,$2000000
,Sean Lee\LeexSe99,LB,DAL,$2000000
,Earl Thomas\ThomEa99,DB,BAL,$2000000
,Jeff Heuerman\HeueJe00,TE,DEN,$2000000
,Nick Easton\EastNi00,C,NOR,$2000000
,Lerentee McCray\McCrLe01,LB,JAX,$2000000
,Laken Tomlinson\TomlLa01,OG,SFO,$2000000
,Jacoby Brissett\BrisJa00,QB,IND,$2000000
,Mark Ingram\IngrMa01,RB,BAL,$2000000
,Michael Schofield\SchoMi00,OT,LAC,$2000000
,Stephen Hauschka\HausSt00,K,BUF,$2000000
,Angelo Blackson\BlacAn00,DT,HOU,$2000000
,Jeff Heath\HeatJe00,S,DAL,$2000000
,Jason Witten\WittJa00,TE,DAL,$2000000
,Lorenzo Alexander\AlexLo99,LB,BUF,$2000000
,Jordan Hicks\HickJo00,OLB,ARI,$2000000
,Adam Humphries\HumpAd00,WR,TEN,$2000000
,Ereck Flowers\FlowEr00,OT,WAS,$2000000
,Le'Veon Bell\BellLe00,RB,NYJ,$2000000
,Mychal Kendricks\KendMy00,ILB,SEA,$2000000
,Ty Sambrailo\SambTy00,OT,ATL,$2000000
,Jared Cook\CookJa02,TE,NOR,$2000000
,Nick Vigil\VigiNi00,ILB,CIN,$2000000
,Breshad Perriman\PerrBr02,WR,TAM,$2000000
,Randall Cobb\CobbRa00,WR,DAL,$2000000
,Beau Allen\AlleBe00,DT,TAM,$2000000
,Kevin Johnson\JohnKe04,CB,BUF,$2000000
,Henry Anderson\AndeHe00,DE,NYJ,$2000000
,Andre Roberts\RobeAn00,WR,BUF,$2000000
,Josh McCown\McCoJo01,QB,PHI,$2000000
,James Carpenter\CarpJa00,OL,ATL,$2000000
,Andy Lee\LeexAn20,P,ARI,$2000000
434,Joe Thuney\ThunJo00,OG,NWE,$1995000
435,Golden Tate\TateGo00,WR,NYG,$1975000
436,Tyreek Hill\HillTy00,WR,KAN,$1965036
437,Taylor Decker\DeckTa00,OT,DET,$1945498
438,Keanu Neal\NealKe01,FS,ATL,$1914224
439,Rontez Miles\MileRo00,FS,NYJ,$1907000
440,Michael Thomas\ThomMi02,S,NYG,$1900000
,Greg Olsen\OlseGr00,TE,CAR,$1900000
,Lee Smith\SmitLe00,TE,BUF,$1900000
,Patrick Chung\ChunPa99,DB,NWE,$1900000
444,Saquon Barkley\BarkSa00,RB,NYG,$1897943
445,Ryan Kelly\KellRy00,C,IND,$1875134
446,Adam Vinatieri\vinatada01,K,IND,$1875000
447,Marshon Lattimore\LattMa01,CB,NOR,$1861324
448,Shaq Lawson\LawsSh00,DE,BUF,$1851679
449,Darron Lee\LeexDa00,OLB,KAN,$1843861
450,Will Fuller\FullWi01,WR,HOU,$1836043
451,Denzel Ward\WardDe02,CB,CLE,$1805698
452,Laquon Treadwell\TreaLa00,WR,MIN,$1804770
453,Jonathan Bostic\BostJo00,LB,WAS,$1800000
,Brett Kern\KernBr20,P,TEN,$1800000
,Duke Johnson\JohnDu00,RB,HOU,$1800000
,Chris Jones\JoneCh02,P,DAL,$1800000
457,William Jackson\JackWi02,CB,CIN,$1773497
458,Artie Burns\BurnAr00,CB,PIT,$1757861
459,Cody Davis\DaviCo02,S,JAX,$1750000
,Quinton Spain\SpaiQu00,OG,BUF,$1750000
,Joe Thomas\ThomJo04,LB,DAL,$1750000
,Kwon Alexander\AlexKw00,OLB,SFO,$1750000
,Rex Burkhead\BurkRe00,RB,NWE,$1750000
,Ryan Tannehill\TannRy00,QB,TEN,$1750000
465,Kenny Clark\ClarKe01,DT,GNB,$1726588
466,Antoine Bethea\BethAn20,DB,NYG,$1725000
467,Deshaun Watson\WatsDe00,QB,HOU,$1724480
468,Jordan Mills\MillJo02,OT,ARI,$1700000
,Seth Roberts\RobeSe00,WR,BAL,$1700000
470,Haason Reddick\ReddHa00,OLB,ARI,$1690270
471,Derek Barnett\BarnDe01,DE,PHI,$1633252
472,Malik Hooker\HookMa00,FS,IND,$1610446
473,Derek Carrier\CarrDe00,WR,OAK,$1600000
,Patrick DiMarco\DiMaPa00,FB,BUF,$1600000
,Matthew Slater\SlatMa00,WR,NWE,$1600000
476,Germain Ifedi\IfedGe00,OT,SEA,$1577060
477,Tevin Coleman\ColeTe01,RB,SFO,$1550000
,K'Waun Williams\WillKW00,DB,SFO,$1550000
479,Marlon Humphrey\HumpMa00,CB,BAL,$1542044
480,Jonathan Allen\AlleJo01,DT,WAS,$1519216
481,Adrian Phillips\PhilAd00,DB,LAC,$1500000
,Phillip Dorsett\DorsPh00,WR,NWE,$1500000
,Jonotthan Harrison\HarrJo03,C,NYJ,$1500000
,Jason Myers\MyerJa00,K,SEA,$1500000
,Sherrick McManis\McMaSh99,DB,CHI,$1500000
